preprocessed_path,features_path,preprocessed_name,meta_key,species,file,url,local_path,RN,CU,NC,SR,CS,PL,SC,GS,GA,OD,NT,DA,NA,GC,SH,AU,LO,RG,ST,file_no_ext,meta_source_dir,GB,HY,RC,OS,OT,BH,ID,AG,IA,IP,AP,DA_parsed,GA_first,RG_first,group,split
preprocessed\Atlantic_Spotted_Dolphin\61025001_chunk0.npy,features\Atlantic_Spotted_Dolphin\61025001_chunk0.npz,61025001_chunk0,61025001,Atlantic Spotted Dolphin,61025001.wav,https://whoicf2.whoi.edu/science/B/whalesounds/WhaleSounds/61025001.wav,dataset\Atlantic_Spotted_Dolphin\61025001.wav,61025001,58  B0:23.700  11.570,21B,43900,1.891,Pemtek/Kay,OTF,Stenella frontalis  BD15F,ANWBD15F,6-Aug-1961  BD15F | AugBD15F  1961BD15F,BD15F  Whistles; pulsed clicks.,04-Aug-1994,10+  BD15F,N38BD15F  W073BD15F,Bear 265,WAW,"CD #9, 10 | SHIV",AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,BLBD15F | BSBD15F | PUBD15F | FMBD15F | Whistles  BD15F | Pulsed clicks  BD15F,61025001,dataset\Atlantic_Spotted_Dolphin,,,,,,,,,,,,1994-08-04,ANWBD15F,AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,ANWBD15F_AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,val
preprocessed\Atlantic_Spotted_Dolphin\61025002_chunk0.npy,features\Atlantic_Spotted_Dolphin\61025002_chunk0.npz,61025002_chunk0,61025002,Atlantic Spotted Dolphin,61025002.wav,https://whoicf2.whoi.edu/science/B/whalesounds/WhaleSounds/61025002.wav,dataset\Atlantic_Spotted_Dolphin\61025002.wav,61025002,58  B0:23.700  14.990,21B,43900,1.891,Pemtek/Kay,OTF,Stenella frontalis  BD15F,ANWBD15F,6-Aug-1961  BD15F | AugBD15F  1961BD15F,BD15F  Sidebanded whistles; pulsed clicks.  Good clicks.,04-Aug-1994,10+  BD15F,N38BD15F  W073BD15F,Bear 265,WAW,"CD #9, 10 | SHIV",AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,BLBD15F | BSBD15F | PUBD15F | FMBD15F | Whistles  BD15F | Pulsed clicks  BD15F,61025002,dataset\Atlantic_Spotted_Dolphin,,,,,,,,,,,,1994-08-04,ANWBD15F,AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,ANWBD15F_AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,val
preprocessed\Atlantic_Spotted_Dolphin\61025003_chunk0.npy,features\Atlantic_Spotted_Dolphin\61025003_chunk0.npz,61025003_chunk0,61025003,Atlantic Spotted Dolphin,61025003.wav,https://whoicf2.whoi.edu/science/B/whalesounds/WhaleSounds/61025003.wav,dataset\Atlantic_Spotted_Dolphin\61025003.wav,61025003,58  B0:23.700  16.890,21B,43900,1.891,Pemtek/Kay,OTF,Stenella frontalis  BD15F,ANWBD15F,6-Aug-1961  BD15F | AugBD15F  1961BD15F,BD15F  Sidebanded whistles; pulsed clicks.  Good whistles.,04-Aug-1994,10+  BD15F,N38BD15F  W073BD15F,Bear 265,WAW,"CD #9, 10 | SHIV",AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,BLBD15F | BSBD15F | PUBD15F | FMBD15F | Whistles  BD15F | Pulsed clicks  BD15F,61025003,dataset\Atlantic_Spotted_Dolphin,,,,,,,,,,,,1994-08-04,ANWBD15F,AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,ANWBD15F_AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,val
preprocessed\Atlantic_Spotted_Dolphin\61025004_chunk0.npy,features\Atlantic_Spotted_Dolphin\61025004_chunk0.npz,61025004_chunk0,61025004,Atlantic Spotted Dolphin,61025004.wav,https://whoicf2.whoi.edu/science/B/whalesounds/WhaleSounds/61025004.wav,dataset\Atlantic_Spotted_Dolphin\61025004.wav,61025004,58  B0:23.700  21.520,21B,43900,0.9453,Pemtek/Kay,OTF,Stenella frontalis  BD15F,ANWBD15F,6-Aug-1961  BD15F | AugBD15F  1961BD15F,BD15F  Sidebanded whistles; pulsed clicks.  Good clicks and whistles.,04-Aug-1994,10+  BD15F,N38BD15F  W073BD15F,Bear 265,WAW,"CD #9, 10 | SHIV",AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,FMBD15F | BSBD15F | PUBD15F | Whistles  BD15F | Pulsed clicks  BD15F,61025004,dataset\Atlantic_Spotted_Dolphin,,,,,,,,,,,,1994-08-04,ANWBD15F,AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,ANWBD15F_AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,val
preprocessed\Atlantic_Spotted_Dolphin\61025006_chunk0.npy,features\Atlantic_Spotted_Dolphin\61025006_chunk0.npz,61025006_chunk0,61025006,Atlantic Spotted Dolphin,61025006.wav,https://whoicf2.whoi.edu/science/B/whalesounds/WhaleSounds/61025006.wav,dataset\Atlantic_Spotted_Dolphin\61025006.wav,61025006,78  B0:23.700  5.328,21B,43900,0.9453,Pemtek/Kay,OTF,Stenella frontalis  BD15F,ANWBD15F,6-Aug-1961  BD15F | AugBD15F  1961BD15F,BD15F  Whistles; pulsed click series.  Good cut.,05-Aug-1994,10+  BD15F,N38BD15F  W073BD15F,Bear 265,WAW,"CD #9, 10 | SHIV",AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,FMBD15F | BSBD15F | PUBD15F | SEBD15F | Whistles  BD15F | Clicks  BD15F | Pulsed click series  BD15F,61025006,dataset\Atlantic_Spotted_Dolphin,,,,,,,,,,,,1994-08-05,ANWBD15F,AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,ANWBD15F_AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,val
preprocessed\Atlantic_Spotted_Dolphin\61025007_chunk0.npy,features\Atlantic_Spotted_Dolphin\61025007_chunk0.npz,61025007_chunk0,61025007,Atlantic Spotted Dolphin,61025007.wav,https://whoicf2.whoi.edu/science/B/whalesounds/WhaleSounds/61025007.wav,dataset\Atlantic_Spotted_Dolphin\61025007.wav,61025007,78  B0:23.700  7.709,21B,43900,0.9453,Pemtek/Kay,OTF,Stenella frontalis  BD15F,ANWBD15F,6-Aug-1961  BD15F | AugBD15F  1961BD15F,BD15F  Whistles; pulsed click series.,04-Aug-1994,10+  BD15F,N38BD15F  W073BD15F,Bear 265,WAW,"CD #9, 10 | SHIV",AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,FMBD15F | BSBD15F | PUBD15F | SEBD15F | Whistles  BD15F | Clicks  BD15F | Pulsed click series  BD15F,61025007,dataset\Atlantic_Spotted_Dolphin,,,,,,,,,,,,1994-08-04,ANWBD15F,AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,ANWBD15F_AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,val
preprocessed\Atlantic_Spotted_Dolphin\61025008_chunk0.npy,features\Atlantic_Spotted_Dolphin\61025008_chunk0.npz,61025008_chunk0,61025008,Atlantic Spotted Dolphin,61025008.wav,https://whoicf2.whoi.edu/science/B/whalesounds/WhaleSounds/61025008.wav,dataset\Atlantic_Spotted_Dolphin\61025008.wav,61025008,129  B0:23.700  14.590,21B,43900,1.891,Pemtek/Kay,OTF,Stenella frontalis  BD15F,ANWBD15F,6-Aug-1961  BD15F | AugBD15F  1961BD15F,BD15F  Whistles; click series.  Good whistles.,04-Aug-1994,10  BD15F,N38BD15F  W073BD15F,Bear 265,WAW,"CD #9, 10 | SHIV",AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,FMBD15F | BSBD15F | PUBD15F | SEBD15F | Whistles  BD15F | Clicks  BD15F | Click series  BD15F,61025008,dataset\Atlantic_Spotted_Dolphin,,,,,,,,,,,,1994-08-04,ANWBD15F,AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,ANWBD15F_AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,val
preprocessed\Atlantic_Spotted_Dolphin\61025009_chunk0.npy,features\Atlantic_Spotted_Dolphin\61025009_chunk0.npz,61025009_chunk0,61025009,Atlantic Spotted Dolphin,61025009.wav,https://whoicf2.whoi.edu/science/B/whalesounds/WhaleSounds/61025009.wav,dataset\Atlantic_Spotted_Dolphin\61025009.wav,61025009,149  B0:23.700  20.350,21B,43900,1.891,Pemtek/Kay,OTF,Stenella frontalis  BD15F,ANWBD15F,6-Aug-1961  BD15F | AugBD15F  1961BD15F,BD15F  Whistles; pulsed click series.  Good whistles.,04-Aug-1994,10  BD15F,N38BD15F  W073BD15F,Bear 265,WAW,"CD #9, 10 | SHIV",AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,FMBD15F | BSBD15F | PUBD15F | Whistles  BD15F | Clicks  BD15F | Pulsed click series  BD15F,61025009,dataset\Atlantic_Spotted_Dolphin,,,,,,,,,,,,1994-08-04,ANWBD15F,AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,ANWBD15F_AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,val
preprocessed\Atlantic_Spotted_Dolphin\6102500A_chunk0.npy,features\Atlantic_Spotted_Dolphin\6102500A_chunk0.npz,6102500A_chunk0,6102500A,Atlantic Spotted Dolphin,6102500A.wav,https://whoicf2.whoi.edu/science/B/whalesounds/WhaleSounds/6102500A.wav,dataset\Atlantic_Spotted_Dolphin\6102500A.wav,6102500A,149  B0:23.700  14.740,21B,43900,1.891,Pemtek/Kay,OTF,Stenella frontalis  BD15F,ANWBD15F,6-Aug-1961  BD15F | AugBD15F  1961BD15F,BD15F  Whistles; pulsed click series.  Good whistles.,04-Aug-1994,10  BD15F,N38BD15F  W073BD15F,Bear 265,WAW,"CD #9, 10 | SHIV",AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,FMBD15F | BSBD15F | PUBD15F | SEBD15F | Whistles  BD15F | Clicks  BD15F | Pulsed click series  BD15F,6102500A,dataset\Atlantic_Spotted_Dolphin,,,,,,,,,,,,1994-08-04,ANWBD15F,AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,ANWBD15F_AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,val
preprocessed\Atlantic_Spotted_Dolphin\6102500B_chunk0.npy,features\Atlantic_Spotted_Dolphin\6102500B_chunk0.npz,6102500B_chunk0,6102500B,Atlantic Spotted Dolphin,6102500B.wav,https://whoicf2.whoi.edu/science/B/whalesounds/WhaleSounds/6102500B.wav,dataset\Atlantic_Spotted_Dolphin\6102500B.wav,6102500B,25.582-26.804,1,60600,1.222,Pemtek/K-H H3.1 L28,OTF,Stenella frontalis  BD15F,ANWBD15F,6-Aug-1961  BD15F | AugBD15F  1961BD15F,BD15F  Whistles; pulsed clicks. Cue times are approximate--original file on CD restreamed with HP filter of 3.1kHz and LP filter   of 28kHz. Tape restreamed for use in comparative measurement analysis between Stenella species. Original cuts (61025001-00a) too short (1/10th sec) for analysis--believed to be longer cuts divided up into shorter sections.,04-Feb-2003,10+  BD15F,N38BD15F  W073BD15F,Bear 265,WAW,Sound Cut 1 CD | SHIV,AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,BLBD15F | BSBD15F | PUBD15F | FMBD15F | Whistles  BD15F | Pulsed clicks  BD15F,6102500B,dataset\Atlantic_Spotted_Dolphin,,,,,,,,,,,,2003-02-04,ANWBD15F,AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,ANWBD15F_AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,val
